,header
49,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:13.697 +0000] fr.tommy.com ""GET /fr.tommy.com/tommy-classics-femme HTTP/1.1"" 200 49719 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
50,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:14.352 +0000] fr.tommy.com ""GET /fr.tommy.com/hauts-t-shirts-fille HTTP/1.1"" 200 50042 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
51,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:16.212 +0000] fr.tommy.com ""GET /fr.tommy.com/jeans-femme-tommy-jeans HTTP/1.1"" 200 39044 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
52,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:16.846 +0000] fr.tommy.com ""GET /fr.tommy.com/pulls-homme-tommy-jeans HTTP/1.1"" 200 52730 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
53,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:18.114 +0000] fr.tommy.com ""GET /fr.tommy.com/ca-transparency-disclosure HTTP/1.1"" 200 30854 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
54,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:18.745 +0000] fr.tommy.com ""GET /fr.tommy.com/chemises-homme-tommy-jeans HTTP/1.1"" 200 49809 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
55,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:19.378 +0000] fr.tommy.com ""GET /fr.tommy.com/pantalons-homme-tommy-jeans HTTP/1.1"" 200 52520 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
56,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:21.296 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-pyjamas-enfant HTTP/1.1"" 200 47799 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
57,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:23.004 +0000] fr.tommy.com ""GET /fr.tommy.com/chaussettes-et-collants-femme HTTP/1.1"" 200 59027 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
58,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:24.579 +0000] fr.tommy.com ""GET /fr.tommy.com/en-mode-eco-responsabilite-enfant HTTP/1.1"" 200 55147 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
